CORONAVAC,37832
BUTANTAN,26970
ASTRAZENECA,22190
FIOCRUZ,11896
ASTRAZENICA,9786
PFIZER,7530
FUNDACAO BUTANTAN,5396
SINOVAC,4663
OXFORD,4345
ASTRAZENECA/OXFORD/FIOCRUZ,3737
CORONAVAC-SINOVAC/BUTANTAN,3606
SINOVAC/BUTANTAN,3113
OXFORD/FIOCRUZ,2729
COVID-19-CORONAVAC-SINOVAC/BUTANTAN,2614
FUNDACAO OSWALDO CRUZ,2272
BUTANTA,2179
FIO CRUZ,2068
ASTRAZENECA-COVISHIELD/FIOCRUZ,1846
CORONAVAC/BUTANTAN,1575
COVID-19-COVISHIELD-OXFORD/FIOCRUZ,1374
JANSSEN,1193
ASTRAZENECA-COVISHIELD,1124
CORONAVAC - BUTANTAN - SINOVAC,1073
ASTRAZENECA/FIOCRUZ,945
VACINA COVID-19 - COVISHIELD,939
INSTITUTO BUTANTAN,699
CORONAVAC BUTANTAN,657
COVISHIELD ASTRAZENECA,618
CORONAVAC SINOVAC BUTANTAN,581
ASTRA ZENECA,548
BUTANTAN/CORONAVAC,542
ASTRAZENECA/OXFORD,524
COVISHIELD-OXFORD/FIOCRUZ,452
BUTANTAN CORONAVAC,432
BUTANTAN - CORONAVAC,429
CORONOVAC,427
COVISHIELD,427
JANSEN,406
IB,388
AZTRAZENECA,382
SINOVAC BUTANTAN,365
BIOMANGUINHOS - OXFORD - FIOCRUZ - ASTRAZENECA,332
BUTATAN,318
COVID-19-CORONAVAC-SINOVAC / BUTANTAN,311
CORONAVAC/ BUTANTAN,310
BUTANTAM,278
ASTRAZENECA OXFORD FIOCRUZ,270
AZTRAZENICA,266
SINOVAC / BUTANTAN,260
CORONAVAC - BUTANTAN,249
OXFORD / FIOCRUZ,236
VACINA COVID-19-PFIZER (COMIRNATY),229
OXFORD FIOCRUZ,222
CORONAVAC 2 DOSES,213
OXFORD/ASTRAZENECA,211
2 DOSES CORONAVAC,201
BUTANTAN / CORONAVAC,200
PFIZER (COMIRNATY),196
ASTRAZENECA-FIOCRUZ,192
NAO INFORMADO,183
SINOVAC/ BUTANTAN,181
CORONAVAC / BUTANTAN,180
OSWALDO CRUZ,174
CORONOVAC -BUTANTAN,173
OXFORD/ FIOCRUZ,167
BUTANTAN/SINOVAC,156
VACINA COVID-19 - BNT162B2 - BIONTECH/FOSUN PHARMA/PFIZER,150
ASTRAZENECA OXFORD,146
CORANAVAC,144
ASTRAZENECA FIOCRUZ,140
OXFORD-ASTRAZENECA,139
SINOVAC - BUTANTAN,138
COVID-19-ASTRAZENECA,137
OXFORD - FIOCRUZ,136
ASTRAZENECA/ FIO CRUZ,135
PFIZER-COMIRNATY,135
PFIZER-BIONTECH/FOSUN PHARMA,131
BUTANTAN- CORONAVAC,131
FIOCRUZ/ASTRAZENECA,130
CORONA VAC,125
MINISTERIO DA SAUDE,122
CORONAVAC BUTANTA,122
ASTRA,121
COV19 OXFORD - ASTRAZENECA COVISHIELD,121
ASTRAZENCA,118
SINOVAC BUTANTA,117
BUTANTAN (CORONAVAC),117
ASTRAZENECA / OXFORD,114
CORONAVAC-BUTANTAN,111
CORONAVAC SINOVAC,110
ASTRA ZENICA,110
CORONAVAC-SINOVAC-BUTANTAN,109
CORONAVAC-SINOVAC / BUTANTAN,107
ASTRAZENECA / FIOCRUZ / OXFORD,102
COVID-19-COVISHIELD-OXFORD / FIOCRUZ,100
CORONAVC,99
OSVALDO CRUZ,97
COVISHIELD-OXFORD / FIOCRUZ,88
SERUM,87
OXFORD ASTRAZENECA,87
VACINA COVID-19 - BNT162B2 - BIONTECH / FOSUN PHARMA / PFIZER,84
COVISHIELD/ASTRAZENECA,84
ASTRAZENICA/FIOCRUZ,83
BUTANTAN / SINOVAC,83
2º DOSE CORONAVAC,83
FIOCRUZ/ASTRAZENICA,82
FIOCRUZ / ASTRAZENECA-OXFORD,82
CORONAVAC/BUTANTA,81
BUTANTAN-CORONAVAC,79
ASTRAZANECA,78
CORONAVAC - 2 DOSES,75
NAO SABE INFORMAR,74
ASTRAZENECA - FIOCRUZ,70
COVISHIELD-OXFORD-FIOCRUZ,70
ASTAZENECA,70
FUNDACAO FIOCRUZ,69
SEM INFORMACAO,68
BUTANTAN/ CORONAVAC,66
PFAIZER,65
BUTANTAN FUNDACAO BUTANTAN,65
PHIZER,63
FC,63
2 DOSES,61
FIOCRUZ/OXFORD,59
FUNDACAO OSVALDO CRUZ,58
PFISER,58
BUTANTAN/ SINOVAC,58
CORONAVAC (SINOVAC / BUTANTAN),57
